,wavenumber,absorbance
636,2769.64718,0.06523
637,2767.71846,0.06457
638,2765.78974,0.06397
639,2763.86101,0.06333
640,2761.93229,0.06274
641,2760.00356,0.06226
642,2758.07484,0.06177
643,2756.14612,0.06119
644,2754.21739,0.06059
645,2752.28867,0.06005
646,2750.35995,0.05954
647,2748.43122,0.05895
648,2746.5025,0.05829
649,2744.57378,0.05765
650,2742.64505,0.057
651,2740.71633,0.05638
652,2738.7876,0.05587
653,2736.85888,0.05538
654,2734.93016,0.05484
655,2733.00143,0.05431
656,2731.07271,0.05382
657,2729.14399,0.05333
658,2727.21526,0.0528
659,2725.28654,0.05223
660,2723.35782,0.05167
661,2721.42909,0.05116
662,2719.50037,0.05063
663,2717.57164,0.05
664,2715.64292,0.04936
665,2713.7142,0.04882
666,2711.78547,0.04836
667,2709.85675,0.04791
668,2707.92803,0.04744
669,2705.9993,0.04695
670,2704.07058,0.04641
671,2702.14185,0.04587
672,2700.21313,0.04534
673,2698.28441,0.04482
674,2696.35568,0.04433
675,2694.42696,0.04392
676,2692.49824,0.04355
677,2690.56951,0.04315
678,2688.64079,0.04269
679,2686.71207,0.04224
680,2684.78334,0.04182
681,2682.85462,0.0414
682,2680.92589,0.04092
683,2678.99717,0.04033
684,2677.06845,0.03974
685,2675.13972,0.03927
686,2673.211,0.03885
687,2671.28228,0.03845
688,2669.35355,0.03805
689,2667.42483,0.03765
690,2665.49611,0.03724
691,2663.56738,0.03679
692,2661.63866,0.03631
693,2659.70993,0.03586
694,2657.78121,0.03543
695,2655.85249,0.03495
696,2653.92376,0.03444
697,2651.99504,0.03395
698,2650.06632,0.03361
699,2648.13759,0.03332
700,2646.20887,0.03297
701,2644.28014,0.03261
702,2642.35142,0.03226
703,2640.4227,0.03185
704,2638.49397,0.0314
705,2636.56525,0.03096
706,2634.63653,0.03058
707,2632.7078,0.03029
708,2630.77908,0.03005
709,2628.85036,0.02969
710,2626.92163,0.02918
711,2624.99291,0.02869
712,2623.06418,0.02832
713,2621.13546,0.02805
714,2619.20674,0.02774
715,2617.27801,0.02734
716,2615.34929,0.02694
717,2613.42057,0.02661
718,2611.49184,0.02629
719,2609.56312,0.02599
720,2607.6344,0.02565
721,2605.70567,0.02524
722,2603.77695,0.02485
723,2601.84822,0.02457
724,2599.9195,0.02431
725,2597.99078,0.024
726,2596.06205,0.02367
727,2594.13333,0.02338
728,2592.20461,0.02315
729,2590.27588,0.02294
730,2588.34716,0.02271
731,2586.41843,0.02242
732,2584.48971,0.0221
733,2582.56099,0.02174
734,2580.63226,0.02133
735,2578.70354,0.02095
736,2576.77482,0.02065
737,2574.84609,0.02039
738,2572.91737,0.02017
739,2570.98865,0.01998
740,2569.05992,0.01972
741,2567.1312,0.01937
742,2565.20247,0.01908
743,2563.27375,0.01893
744,2561.34503,0.01875
745,2559.4163,0.0185
746,2557.48758,0.0183
747,2555.55886,0.01816
748,2553.63013,0.01798
749,2551.70141,0.01774
750,2549.77269,0.01747
751,2547.84396,0.01719
752,2545.91524,0.01691
753,2543.98651,0.0167
754,2542.05779,0.01658
755,2540.12907,0.01644
756,2538.20034,0.01624
757,2536.27162,0.01602
