"","sample_id","bsi","wavenumber","absorbance"
"343","FISK-10.0",20.37,"3337"," 0.2582675301364"
"344","FISK-10.0",20.37,"3335"," 0.2581250791453"
"345","FISK-10.0",20.37,"3333"," 0.2580639520825"
"346","FISK-10.0",20.37,"3331"," 0.2581078955064"
"347","FISK-10.0",20.37,"3329"," 0.2582990227817"
"348","FISK-10.0",20.37,"3327"," 0.2584984095752"
"349","FISK-10.0",20.37,"3325"," 0.2584328099319"
"350","FISK-10.0",20.37,"3323"," 0.2581788575902"
"351","FISK-10.0",20.37,"3321"," 0.2579814537027"
"352","FISK-10.0",20.37,"3319"," 0.2578448538157"
"353","FISK-10.0",20.37,"3317"," 0.2577170059573"
"354","FISK-10.0",20.37,"3315"," 0.2576750703831"
"355","FISK-10.0",20.37,"3314"," 0.2576854399009"
"356","FISK-10.0",20.37,"3312"," 0.2577466259838"
"357","FISK-10.0",20.37,"3310"," 0.2578022946706"
"358","FISK-10.0",20.37,"3308"," 0.2578011715481"
"359","FISK-10.0",20.37,"3306"," 0.2577448121821"
"360","FISK-10.0",20.37,"3304"," 0.2577112975378"
"361","FISK-10.0",20.37,"3302"," 0.2577199370052"
"362","FISK-10.0",20.37,"3300"," 0.2576972412935"
"363","FISK-10.0",20.37,"3298"," 0.2575964792559"
"364","FISK-10.0",20.37,"3296"," 0.2573796803078"
"365","FISK-10.0",20.37,"3294"," 0.2570718891706"
"366","FISK-10.0",20.37,"3292"," 0.2567175410244"
"367","FISK-10.0",20.37,"3290"," 0.2563481457228"
"368","FISK-10.0",20.37,"3288"," 0.2559440097370"
"369","FISK-10.0",20.37,"3287"," 0.2557262498639"
"370","FISK-10.0",20.37,"3285"," 0.2553149636808"
"371","FISK-10.0",20.37,"3283"," 0.2550034735811"
"372","FISK-10.0",20.37,"3281"," 0.2548101136493"
"373","FISK-10.0",20.37,"3279"," 0.2546522046632"
"374","FISK-10.0",20.37,"3277"," 0.2544011031611"
"375","FISK-10.0",20.37,"3275"," 0.2539830589559"
"376","FISK-10.0",20.37,"3273"," 0.2535214476365"
"377","FISK-10.0",20.37,"3271"," 0.2532253826093"
"378","FISK-10.0",20.37,"3269"," 0.2529869137723"
"379","FISK-10.0",20.37,"3267"," 0.2526298272447"
"380","FISK-10.0",20.37,"3265"," 0.2521042618718"
"381","FISK-10.0",20.37,"3263"," 0.2515571625889"
"382","FISK-10.0",20.37,"3261"," 0.2510619376999"
"383","FISK-10.0",20.37,"3260"," 0.2508182540324"
"384","FISK-10.0",20.37,"3258"," 0.2502905554951"
"385","FISK-10.0",20.37,"3256"," 0.2497513405713"
"386","FISK-10.0",20.37,"3254"," 0.2492209309235"
"387","FISK-10.0",20.37,"3252"," 0.2487287846925"
"388","FISK-10.0",20.37,"3250"," 0.2482891409936"
"389","FISK-10.0",20.37,"3248"," 0.2477643973496"
"390","FISK-10.0",20.37,"3246"," 0.2471664018292"
"391","FISK-10.0",20.37,"3244"," 0.2466706234154"
"392","FISK-10.0",20.37,"3242"," 0.2461927494776"
"393","FISK-10.0",20.37,"3240"," 0.2456176238769"
"394","FISK-10.0",20.37,"3238"," 0.2450924998833"
"395","FISK-10.0",20.37,"3236"," 0.2446341102176"
"396","FISK-10.0",20.37,"3234"," 0.2441474793907"
"397","FISK-10.0",20.37,"3233"," 0.2438726885946"
"398","FISK-10.0",20.37,"3231"," 0.2432425585230"
"399","FISK-10.0",20.37,"3229"," 0.2426482479144"
"400","FISK-10.0",20.37,"3227"," 0.2422258408383"
"401","FISK-10.0",20.37,"3225"," 0.2418592887029"
"402","FISK-10.0",20.37,"3223"," 0.2413533651159"
"403","FISK-10.0",20.37,"3221"," 0.2407061604268"
"404","FISK-10.0",20.37,"3219"," 0.2400542395554"
"405","FISK-10.0",20.37,"3217"," 0.2394521692513"
"406","FISK-10.0",20.37,"3215"," 0.2388413784200"
"407","FISK-10.0",20.37,"3213"," 0.2382399463896"
"408","FISK-10.0",20.37,"3211"," 0.2376385143592"
"409","FISK-10.0",20.37,"3209"," 0.2370455594096"
"410","FISK-10.0",20.37,"3207"," 0.2364856054502"
