,wavenumber,absorbance
970,5626.10897,0.00044
971,5624.18024,0.00024
972,5622.2515,-1e-05
973,5620.32277,-0.00038
974,5618.39404,-0.0006
975,5616.46531,-0.00051
976,5614.53658,-0.0002
977,5612.60785,0.00018
978,5610.67912,0.00033
979,5608.75039,0.00021
980,5606.82166,0.00031
981,5604.89292,0.00078
982,5602.96419,0.00118
983,5601.03546,0.00108
984,5599.10673,0.00078
985,5597.178,0.0008
986,5595.24927,0.00089
987,5593.32054,0.00067
988,5591.39181,0.00025
989,5589.46307,-0.00016
990,5587.53434,-0.0004
991,5585.60561,-0.0003
992,5583.67688,0.00018
993,5581.74815,0.00062
994,5579.81942,0.00054
995,5577.89069,0.00018
996,5575.96196,1e-05
997,5574.03322,0.0001
998,5572.10449,0.00036
999,5570.17576,0.00051
1000,5568.24703,0.00023
1001,5566.3183,-0.00025
1002,5564.38957,-0.00035
1003,5562.46084,1e-05
1004,5560.53211,0.00049
1005,5558.60337,0.00073
1006,5556.67464,0.00064
1007,5554.74591,0.00053
1008,5552.81718,0.00059
1009,5550.88845,0.00068
1010,5548.95972,0.00069
1011,5547.03099,0.0007
1012,5545.10226,0.00056
1013,5543.17352,0.00032
1014,5541.24479,0.00032
1015,5539.31606,0.00052
1016,5537.38733,0.0006
1017,5535.4586,0.00075
1018,5533.52987,0.00106
1019,5531.60114,0.00115
1020,5529.67241,0.00086
1021,5527.74368,0.00059
1022,5525.81494,0.0005
1023,5523.88621,0.00038
1024,5521.95748,0.00028
1025,5520.02875,0.00028
1026,5518.10002,0.0003
1027,5516.17129,0.00046
1028,5514.24256,0.00069
1029,5512.31383,0.0006
1030,5510.38509,0.00029
1031,5508.45636,0.00018
1032,5506.52763,0.00041
1033,5504.5989,0.00069
1034,5502.67017,0.00064
1035,5500.74144,0.0002
1036,5498.81271,-6e-05
1037,5496.88398,0.00043
1038,5494.95524,0.00095
1039,5493.02651,0.00091
1040,5491.09778,0.00072
